window_30s,t_start_s,t_end_s,kill_count,unique_participants,unique_killers,avg_assists,objective_count,dragon_count,baron_count,herald_count,atakhan_count,match_id
5,150,180,1,2,1,0.0,0,0,0,0,0,NA1_5441940357
6,180,210,1,3,1,1.0,0,0,0,0,0,NA1_5441940357
7,210,240,1,3,1,1.0,0,0,0,0,0,NA1_5441940357
8,240,270,3,5,3,0.6666666666666666,0,0,0,0,0,NA1_5441940357
9,270,300,1,3,1,1.0,0,0,0,0,0,NA1_5441940357
11,330,360,1,2,1,0.0,1,1,0,0,0,NA1_5441940357
12,360,390,1,4,1,2.0,0,0,0,0,0,NA1_5441940357
13,390,420,2,5,2,0.5,0,0,0,0,0,NA1_5441940357
15,450,480,2,5,2,1.5,0,0,0,0,0,NA1_5441940357
17,510,540,4,8,3,1.0,0,0,0,0,0,NA1_5441940357
21,630,660,1,4,1,2.0,0,0,0,0,0,NA1_5441940357
23,690,720,1,2,1,0.0,1,1,0,0,0,NA1_5441940357
25,750,780,2,5,2,0.5,0,0,0,0,0,NA1_5441940357
28,840,870,3,7,3,0.6666666666666666,0,0,0,0,0,NA1_5441940357
29,870,900,1,4,1,2.0,0,0,0,0,0,NA1_5441940357
30,900,930,1,4,1,2.0,0,0,0,0,0,NA1_5441940357
31,930,960,1,3,1,1.0,1,0,0,1,0,NA1_5441940357
32,960,990,1,2,1,0.0,0,0,0,0,0,NA1_5441940357
33,990,1020,1,4,1,2.0,0,0,0,0,0,NA1_5441940357
34,1020,1050,1,3,1,1.0,1,1,0,0,0,NA1_5441940357
35,1050,1080,1,3,1,1.0,0,0,0,0,0,NA1_5441940357
37,1110,1140,3,7,3,2.0,0,0,0,0,0,NA1_5441940357
38,1140,1170,1,3,1,1.0,0,0,0,0,0,NA1_5441940357
40,1200,1230,5,8,4,1.0,0,0,0,0,0,NA1_5441940357
42,1260,1290,3,5,3,0.3333333333333333,0,0,0,0,0,NA1_5441940357
43,1290,1320,1,2,1,0.0,1,0,0,0,1,NA1_5441940357
45,1350,1380,2,5,2,1.0,0,0,0,0,0,NA1_5441940357
46,1380,1410,3,6,3,1.6666666666666667,0,0,0,0,0,NA1_5441940357
48,1440,1470,2,6,2,2.0,0,0,0,0,0,NA1_5441940357
49,1470,1500,2,6,2,2.0,1,1,0,0,0,NA1_5441940357
51,1530,1560,1,3,1,1.0,0,0,0,0,0,NA1_5441940357
54,1620,1650,1,5,1,3.0,0,0,0,0,0,NA1_5441940357
55,1650,1680,1,5,1,3.0,0,0,0,0,0,NA1_5441940357
